ID,word,final_normalized_detail
1592,اشربه,جِ شراب ؛ آشاميدني‌ها، نوشيدني‌ها.
1593,اشرس,تندخو. دلیر، دلاور.
1594,اشرف,بزرگوارتر، شريفتر.
1595,اشرفي,نوعی سکه طلای ایرانی که سابقاً در ایران رواج داشته و وزن آن در اواخر قاجاریه  نخود بوده‌است.
1596,اشعار,جِ شعر؛ موها.
1597,اشعار,آگاه کردن، خبر دادن.
1598,اشعار,جِ شعر؛ چامه‌ها، شعرها.
1599,اشعال,افروختن آتش.
1600,اشعب,قوچی که میان دو شاخ آن فراخ باشد، حیوان شاخداری که وسط دو شاخش فاصله باشد. کسی که میان دو شانه اش فراخ باشد.
1601,اشعث,ژوليده موي، آشفته موي.
1602,اشعر,شاعرتر. داناتر.
1603,اشعر,مردي که بدنش داراي موهاي زياد و يا بلند باشد.
1604,اشعري,منسوب به اشعر . منسوب به فرقة اشعریه.
1605,اشعه,جِ شعاع ؛ روشني‌ها، پرتوها.
1606,اشغال,مشغول ساختن. جایی را تصرف کردن.
1607,اشغالگر,شخص يا نيرويي که جايي را به زور و برخلاف حق تصرف کند.
1608,اشغر,خارپشت.
1609,اشفاق,مهربانی کردن. ترسیدن.
1610,اشق,دشوارتر، مشکل تر.
1611,اشقر,سرخ موی. اسبی که یال و دم آن سرخ باشد.
1612,اشقي,بدبخت تر، دل سخت تر.
1613,اشقياء,جِ شقي ؛ سيه روزان، بدبختان.
1614,اشک,قطره، قطرة آب، چکه. سرشک، آبِ چشم که موقع گریستن از چشم جاری می‌شود.  ؛~ تمساح ریختن  اظهار همدردی و غمخواری کردن با کسی از روی ظاهر و به دروغ.  ؛ ~ کسی دم مشکش بودن  به مختصر ناملایمی گریه کردن، همواره آمادة گریستن .
1615,اشک,درختچه‌اي از تيرة پروانه واران که اصل آن از سيبري است و در ايران در نواحي استپي و کوهستان‌هاي خشک اطراف کرج مي‌رويد.
1616,اشک,= ارشک: نام مؤسس خاندان اشکانيان. عنوان هر يک از پادشاهان سلسلة مذکور.
1617,اشکار,شکار.
1618,اشکاف,رخنه، شکاف.
1619,اشکاف,گنجه، قفسة دردار که در آن ظرف، لباس، کتاب و مانند آن را مي‌گذارند.
1620,اشکال,جِ شکل. صورت‌ها، گونه‌ها، انواع. پیکرها.
1621,اشکال,دشوار شدن.   پوشیده شدن کار.  دشواری. خرده گیری.
1622,اشکال,پاي بند ستور، شکال.
1623,اشکال تراشيدن,ايراد گرفتن.
1624,اشکر,سپاس دارتر، حق شناس تر.
1625,اشکردن,نک  شکردن.
1626,اشکره,نک  شکره.
1627,اشکفت,شکاف، رخنه. غار، کهف.
1628,اشکل,اسبي که دست راست و پاي چپش سفيد باشد.
1629,اشکل,پای بند ستور، ریسمانی که بر زانوی شتر بندند تا فرار نکند. مکر، حیله.
1630,اشکل,مشابه تر، مانندتر.
1631,اشکل,دشوارتر، سخت تر، مشکل تر.
1632,اشکل,خوشگل تر، خوش صورت تر.
1633,اشکل,آن که در وی سرخی و سفیدی با هم آمیخته باشد.  کسی که در سفیدی چشمش اندکی سرخی باشد.
1634,اشکلک,شکنجه. نوعی شکنجه و آن چوبی بوده که لای انگشتان متهمان می‌گذاشتند و فشار می‌دادند تا به جرم خود اقرار کنند. چوبی است به مقدار چهار انگشت که وسط آن باریک تر از دو سر وی است، و وسط آن طناب بندند، و آن برای اتصال دو قطعة خیمه به کار رود. در اصطلاح کشاورزی به قلمه‌های کوتاه گویند که برای ایجاد قلمستان غرس می‌شود.
1635,اشکله,نک  اشکلک.
1636,اشکم,شکم، بطن.
1637,اشکن,= شکن: چين و شکن.
1638,اشکنج,نيشگون، وشکون.
1639,اشکنه,چین، شکن. نوایی است از موسیقی قدیم. خورشی است از روغن و سبزی و پیاز و تخم مرغ و آرد.
1640,اشکوب,سقف. هر مرتبه از پوشش خانه، طبقه ؛ اشکو و آشکو هم گویند.
1641,اشکوبه,طبقه.
1642,اشکوخ,لغزش. خزیدن. مجازاً: سهو، خطا.
1643,اشکوخه,لغزش، زلت.
1644,اشکوخيدن,لغزیدن.  سکندری رفتن.
1645,اشکيل,نک  اشکل.
1646,اشکيل,= اشکال: پاي بند ستور.
1647,اشگفيدن,تعجب کردن، به حيرت افتادن.
1648,اشل,مردي است که دست او شل باشد، آن که دستش معيوب و از کار افتاده باشد.
1649,اشل,امتیاز کارمند از نظر درجه و مقام اداری و دریافت حقوق، پایه، رتبه. .  رابطة میان اندازة واقعی چیزی با اندازة نقشه و نمودار آن، مقیاس. .
1650,اشم,مرد خودپسند، خودبين.
1651,اشمام,بویانیدن. بو کردن.
1652,اشمل,شامل تر، فراگيرنده تر، ر سنده تر.
1653,اشمئزاز,بیزاری، نفرت داشتن.  اکراه، نفرت.
1654,اشن,نورس  نوباوه.
1655,اشن,جامة وارو، جامه‌اي که وارو به تن کرده باشند.
1656,اشنا,= آشنا:  شنا، شناوری، آب ورزی.  شنا کننده، شناگر.
1657,اشنا,گوهر گرانبها، گوهر گرانمايه.
1658,اشنع,زشت تر، ناهنجارتر، بدتر، قبيح تر، اشنع اعمال.
1659,اشنو,نوعي سيگار که به نام شهر اشنو  ناميده شده‌است.
1660,اشنوسه,عطسه.
1661,اشهاد,گواه گرفتن. گواه گردانیدن، گواه آوردن. در فقه حضور دو گواه عادل در طلاق و گوش دادن آنان به صیغة طلاق.
1662,اشهب,سیاه و سپید، خاکستری رنگ. اسب خاکستری.
1663,اشهد,فعل متکلم وحده از شهادت به معني: گواهي مي‌دهم.  ؛~ گفتن  به زبان راندن شهادتين: اَشْهَدُ اَنَُ لا\' اِل\'هَ اِلاَ الله.  ؛~ کسي را گفتن  مرگ آن کس را حتمي دانستن.
1664,اشهر,نامدارتر، شناخته شده تر.
1665,اشهل,مردي که سياهي چشم او به کبودي آميخته باشد؛ ميشي چشم.
1666,اشهي,دلخواه تر مرغوبتر.
1667,اشو,مقدس، پاک.
1668,اشواط,جِ شَوْط ؛ دفعه، بار.
1669,اشواق,جِ شوق ؛ آرزو، آرزومندي‌ها.
1670,اشواک,جِ شوک ؛ خارها.
1671,اشوق,شايسته تر، آرزومندتر.
1672,اشياء,جِ شي ء؛ چيزها.
1673,اشياع,جِ شيعه ؛ پيروان.
1674,اشيب,سفيدمو و پير.
1675,اشيم,آن که نشان مادرزادي دارد، خال دار.
1676,اصابت,رسيدن، رسيدن تير به هدف.
1677,اصابع,جِ اصبع ؛ انگشتان.
1678,اصاغر,جِ اصغر. خردسالان، کوچکان. مق  اکابر. کهتران.
1679,اصالت,نژاده بودن، اصیل بودن. نجابت داشتن.
1680,اصباح,بامداد کردن. درآمدن بامداد.
1681,اصبح,خوب رو، زیبارو. مویی که سفید مایل به سرخ باشد.
1682,اصبع,انگشت. ج. اصابع.
1683,اصح,صحيح تر، درست تر.
1684,اصحاب,جِ صاحب. یاران، دمسازان. مالکان، صاحبان.
1685,اصحاب,همراه کردن، به همراه فرستادن، يار کردن.
1686,اصحاب الشمال,دوزخيان.
1687,اصحاب الميمنه,نيکو  کاران، بهشتيان.
1688,اصدار,فرستادن.  صادر کردن حکم. بازگردانیدن.
1689,اصداغ,جِ صدغ. بناگوش‌ها زلف‌ها، پیچه‌ها.
1690,اصداف,جِ صدف.
1691,اصدق,راست تر، راستگوتر.
1692,اصرار,پافشاري کردن.
1693,اصطباح,بامداد شرب خوردن، صبوحي کردن.
1694,اصطبار,صبر کردن،
1695,اصطبل,=اسطبل: طویله. آخور.
1696,اصطحاب,يار و مصاحب يکديگر شدن.
1697,اصطخر,استخر.
1698,اصطرلاب,نک  اسطرلاب.
1699,اصطفا,برگزيدن.
1700,اصطکاک,به هم مالیدن، به هم ساییدن.  مالش.
1701,اصطلاح,سازش کردن، صلح کردن.  واژه‌ای که  به علت کثرت استعمال عمومی، معنایی غیر از معنای اصلی خود را شامل می‌شود. لغتی که جمعی برای خود وضع کنند و به کار برند. ج. اصطلاحات.
1702,اصطلام,از بيخ برکندن چيزي را، از بن برکندن.
1703,اصطناع,نیکویی کردن، پروردن. برگزیدن. مقرب ساختن.
1704,اصطياد,صيد کردن، شکار کردن.
1705,اصعاب,دشوار شدن.  دشوار یافتن.
1706,اصعاد,بالا رفتن، صعود کردن.
1707,اصعب,دشوارتر، صعب تر.
1708,اصغاء,گوش فرادادن.
1709,اصغر,خردتر، کوچکتر.
1710,اصغران,دل و زبان.
1711,اصفاء,برگزيدن کسي را، اختيار کردن.
1712,اصفاد,بند سخت برنهادن. عطا دادن.
1713,اصفر,زرد، زردرنگ.
1714,اصفرار,زرد شدن.  زردی.
1715,اصفي,صافي تر، روشن تر، ناب تر.
1716,اصفياء,جِ صفي ؛ پاکان، برگزيدگان.
1717,اصل,ریشه، بنیاد. نژاد، گوهر.
1718,اصلاً,هرگز، قطعاً، اساساً، ابداً.
1719,اصلاب,جِ صلب ؛ پشت‌ها.
1720,اصلاح,سر  و  سامان  دادن، تصحیح کردن. کوتاه و مرتب کردن موی سر و صورت.
1721,اصلاح دادن,آشتي دادن، سازش دادن.
1722,اصلان,شیر بیشه. نامی از نام‌های مردان.
1723,اصلح,نیکوتر، نکوکارتر. شایسته تر.
1724,اصلع,تاس، کسي که موهاي جلو سر وي ريخته باشد.
1725,اصلم,گوش بريده.
1726,اصله,یک درخت، یک نهال. واحد شمارش درختان.
1727,اصم,کر، ناشنوا. جِ صم.
1728,اصمام,کر شدن.   کر گردانیدن.
1729,اصناف,جِ صنف ؛ دسته‌ها، رسته‌ها.
1730,اصنام,جِ صنم ؛ بُت‌ها.
1731,اصهار,به دامادي پيوستن.
1732,اصهب,موي سرخ به سفيدي آميخته، مي‌گون.
1733,اصواب,صواب تر، درست تر، راست تر.
1734,اصوات,جِ صوت ؛ صداها.
1735,اصوب,صواب تر، درست تر.
1736,اصول,جِ اصل. ریشه‌ها، پایه‌ها. نژادها، گوهرها. علوم شرعی که از چهار اصل تشکیل می‌شود: کتاب، سنت، اجمعا، قیاس.  ؛~  دین  به عقیدة  اهل سنت سه اصل است: توحید، نبوت، معاد و شیعه دو اصل عدل و امامت را بر آن افزوده و معتقد به پنج اصل است.
1737,اصولاً,اساساً، اصلاً.
1738,اصولي,عالم به اصول فقه. در فارسی قانونمندی، از روی قاعده.
1739,اصيل,پاک نژاد، نجیب.   شبانگاه. جِ آصال.
1740,اضاعت,ضایع کردن. تَلَف کردن.  بسیار شدن آب و زمین کسی.
1741,اضاعه,نک  اضاعت.
1742,اضافت,نک  اضافه.
1743,اضافه,افزودن. در دستور زبان فارسی نسبت دادن کلمه‌ای است به کلمة دیگر برای تمام کردن معنی.
1744,اضائت,روشن کردن.  روشن شدن.  روشنایی.
1745,اضائه,نک  اضائت.
1746,اضحي,عيدقربان، دهم ذي حجه.
1747,اضداد,جِ ضد.  چیزهای مخالف و مغایر یکدیگر. آنان  که با هم ناموافقند.
1748,اضراب,روي گردانيدن، رخ تافتن.
1749,اضرار,ضرر رساندن، گزند رساندن.
1750,اضراس,جِ ضرس ؛ دندان‌ها.
1751,اضطراب,پریشان حال شدن.  لرزیدن. آشفتگی، بی تابی.
1752,اضطرار,بیچاره شدن. درماندگی.   بیچاره کردن.
1753,اضطراري,منسوب به اضطرار. ضروری، الزامی.
1754,اضطرام,زبانه زدن آتش. در رسیدن پیری.
1755,اضعاف,سُست کردن، ضعیف کردن. دو برابر کردن.
1756,اضعف,سست تر، ناتوان تر.
1757,اضل,گمراه تر، به ضلالت تر.
1758,اضلاع,جِ ضلع. پهلوها. در هندسه هر یک از خطوط جوانب یک سطح.
1759,اضلال,گمراه ساختن، به بيراهه افکندن.
1760,اضمار,نهفتن، نهان داشتن.
1761,اضمحلال,نیست شدن. از هم پاشیدن.  نابودی.
1762,اضياف,جِ ضيف ؛ مهمان‌ها.
1763,اضيق,تنگ تر، دشوارتر.
1764,اطابه,پاک کردن. خوشبوی کردن. حلال و پاکیزه کردن. خوشمزه کردن طعام.
1765,اطاعت,فرمان بردن، گردن نهادن.  فرمان بری.
1766,اطاق,حجره، خانه.
1767,اطالت,نک  اطاله.
1768,اطاله,دراز کردن، به درازا کشيدن.
1769,اطباء,جِ طبيب ؛ پزشکان.
1770,اطباع,جِ طبع ؛ سرشت‌ها، ذات‌ها.
1771,اطباق,جِ طَبَق. خوان‌ها، خوانچه‌ها. جِ طبقه ؛ مرتبه‌ها.
1772,اطباق,مطابقه کردن. برهم نهادن، جمع شدن برای کاری.
1773,اطراء,نیک ستودن کسی را. تازه کردن.
1774,اطراب,کسی را به طرب آوردن.   سرود گفتن.
1775,اطراح,دور انداختن.
1776,اطراد,کسي را طرد کردن.
1777,اطراد,روان شدن کار، راست آمدن.
1778,اطراف,جِ طرف ؛ کناره‌ها گوشه‌ها، پيرامون.
1779,اطرش,کر؛ اصم.
1780,اطروش,کر، اصم.
1781,اطعام,غذا دادن.
1782,اطعمه,جِ طعام ؛ غذاها.
1783,اطفاء,خاموش کردن. اطفال     جِ طفل ؛ کودکان.
1784,اطفاييه,آتش   نشاني، اداره‌اي که مأمور خاموش کردن آتش است.
1785,اطلاع,آگهي يافتن، با خبر شدن. ج. اطلاعات.
1786,اطلاعيه,ورقه‌اي که براي آگاه کردن ديگران از امري توزيع کنند.
1787,اطلاق,رها کردن، آزاد کردن. به کار بردن واژه‌هایی در معنای مخصوص.  رهایی، آزادی.
1788,اطلاقي,کسي که از لشکريان نيست، آزاد از سپاهي گري.
1789,اطلال,جِ طلل ؛ آنچه از عمارت و بنا، برپا مانده باشد.
1790,اطلس,پارچة ابریشمی. نام یکی از رب النوع‌های یونان قدیم که زمین  را بر دوش خود حمل می‌کند.  اولین مهرة گردن. نقشه جغرافی. سطح مقعر فلک نهم. نام اقیانوسی که بین اروپا و امریکا قرار دارد.
1791,اطلسي,نوعي گل شيپوري با رنگ  ‌هاي آبي، سفيد، بنفش که داراي عطر ملايمي مي‌باشد.
1792,اطماع,به طمع افکندن.
1793,اطماع,جِ طمع ؛ آزها، حرص‌ها. طمع‌ها.
1794,اطمينان,آرامش خاطر یافتن.  آرامش.
1795,اطناب,جِ طنب ؛ ريسمان‌ها، بندها.
1796,اطناب,بسیار گفتن.   پرگویی. تطویل کلام و مبالغه در آن به حدی که از اقتضای تفهیم مقصود تجاوز کند. مق  ایجاز.
1797,اطهار,جِ طاهر؛ پاکان.
1798,اطهر,طاهرتر، پاکتر.
1799,اطواد,جِ طُود؛کوه‌ها.
